video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=6ZcNHOP3wdw&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@MOVIECLIPS,Movieclips,Get Him to the Greek (6/11) Movie CLIP - Move to Seattle? (2010) HD,186K,12 years,CLIP DESCRIPTION: Aaron (Jonah Hill) is alarmed when his girlfriend Daphne (Elisabeth Moss) proposes that they re-locate to ...,2024-01-26 21:39:27.770503
/watch?v=yDA68hjM4ck&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@TravelingWhileBlack1,Traveling While Black,Traveling While Black™ in Seattle: Episode 56 - Top Five Reasons Why You Should Move to Seattle,4.6K,2 years,"Wow, it's been officially two years since we moved to Seattle! We want to dedicate this episode to anyone considering moving ...",2024-01-26 21:39:27.772227
/watch?v=KwrDMcm-uRM&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@takeheart423,takeheart,"moving to seattle pt one | neighborhoods, finding an apartment, budgeting",23K,3 years,moving to a new city can be a bit overwhelming -- there's a lot to think about but hopefully this video gives you a good starting ...,2024-01-26 21:39:27.774214
/watch?v=ne59yY4GF7M&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@seattleuniversity,Seattle University,Move In Day 2022,1K,1 year,Welcome to Seattle U. So it's a new appearance for new chapter. It's a chapter in her transition to an adult. We're ready for it to ...,2024-01-26 21:39:27.775595
/watch?v=LrYtMy3b7bM&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Where To Live When Moving To Seattle,12K,1 year,"In this video, I am going over the Seattle metro as a whole to give you an idea of where to live when moving to Seattle and it's ...",2024-01-26 21:39:27.777609
/watch?v=EUd1w5olrWQ&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@_matchakim,matcha kim,college move-in day @ seattle university – 2019,13K,4 years,hiii guys here's a video about my college move-in at seattle university! i'm transferring as a junior and i'm over 21 so i can live ...,2024-01-26 21:39:27.779039
/watch?v=Rzxx895NK_Q&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Seattle vs Portland - Which One Should You Move To?,5.9K,9 months,"Are you thinking about moving to the pacific northwest, but you aren't sure if you want to live in Seattle or Portland? In this video, I ...",2024-01-26 21:39:27.780355
/watch?v=PObakZRGIYc&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@lucaspintoseattle,Lucas Pinto ,5 Reasons NOT To Move To Seattle | Seattle WA 2021,1.4K,2 years,"Are you considering moving to Seattle, Washington, but are unsure? Well, this video should help you decide whether or not it's the ...",2024-01-26 21:39:27.782144
/watch?v=ptAgsUD71v0&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@KING5Seattle,KING 5 Seattle,Expedia prepares for big move in Seattle,1.3K,4 years,"Expedia is preparing to move thousands of workers to its sprawling, new waterfront campus in Seattle's Interbay neighborhood.",2024-01-26 21:39:27.783428
/watch?v=XCfjDS0wn3s&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@NickJohnson,Nick Johnson,"10 Reasons Why You Should NEVER Move to Seattle, Washington",264K,3 years,"Seattle is a lousy place. If you live there, this is no surprise. Here are ONLY 10 of the reasons why you should never move to ...",2024-01-26 21:39:27.785362
/watch?v=VH4jW6tGnfE&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@TheMinimalistFam,The Minimalist Fam,Extreme Minimalist Move Across The Country Part 2 : Florida to Seattle,3.8K,2 years,Hi everyone and welcome back! Today I am sharing our minimalist move to Seattle from Florida. I tried to get in as much detail and ...,2024-01-26 21:39:27.786634
/watch?v=jLFnc_SIS78&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@ahomeinSeattle,a home in Seattle,3 Things You Should Know Before Moving to Seattle,8.7K,3 years,"These are 3 really important things you should know before moving to Seattle. How do you get around the city, what is the cost of ...",2024-01-26 21:39:27.788593
/watch?v=_WjlHFZj9A0&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@WorldAccordingToBriggs,World According To Briggs,Top 10 Reasons NOT To Move To Seattle. It's not all riots and CHAZ,72K,3 years,Seattle Top 10 Reasons NOT To Move To Seattle. Portland video: https://www.youtube.com/watch?v=r27OZ0jSM1Q Have you ...,2024-01-26 21:39:27.791794
/shorts/FKHVKIhTRVM,/@lifeofmeili,lifeofmeili,WHAT IT'S LIKE BEING FROM SEATTLE... #shorts,17K,2 years,what it's like being from Seattle Subscribe & follow me on TikTok for more! YouTube (@lifeofmeili): ...,2024-01-26 21:39:40.275471
/watch?v=Nkir9lmZ5DQ&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@TayAndBrock,Tay and Brock,Top 10 reasons to move to SEATTLE in 2020,27K,3 years,Our personal top 10 reasons we decided to move to Seattle! What would you like to see from us next?,2024-01-26 21:39:40.279646
/watch?v=Lb_-18apdkk&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@NickJohnson,Nick Johnson,Here's What Downtown Seattle Looks Like These Days,340K,1 year,A downtown tour of Seattle shows some real surprises! So here's the deal with Seattle: It's maybe one of the most dichotomous ...,2024-01-26 21:39:40.283802
/watch?v=fT0xWaZ-WrI&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@ReasonableNews,News For Reasonable People,Thinking About Moving to Seattle?! ( Is It Even It Safe??) Lets Talk | Seattle Real Estate Podcast,7.9K,3 years,"Is it safe to move to Seattle? Great question!!! Considering all of the chaos, protesting, rioting, and political leader upheaval ...",2024-01-26 21:39:40.286971
